wl,n,k
187.9,1.07,1.212
193.7,1.1,1.232
200,1.13,1.255
206.7,1.15,1.277
213.8,1.18,1.312
221.4,1.2,1.344
229.6,1.22,1.378
238.4,1.21,1.41
248,1.18,1.455
258.3,1.14,1.492
269.5,1.1,1.534
281.8,1.05,1.582
295.2,0.96,1.614
310,0.83,1.626
326.3,0.62,1.583
344.4,0.41,1.55
364.7,0.2,1.71
387.5,0.05,2.05
413.3,0.04,2.35
442.8,0.03,2.72
476.9,0.03,3.15
516.6,0.04,3.65
563.6,0.04,4.25
620,0.05,4.95
688.8,0.06,5.75
775,0.07,6.75
885.6,0.08,8.05
1033.2,0.1,9.65
1239.8,0.13,11.8
1549.8,0.17,14.8
1937.2,0.22,18.8
