wl,n,k
300.0,1.5527702635738705,2.8607e-06
310.0,1.549416606894825,1.3679e-06
320.0,1.546428594819673,6.6608e-07
334.0,1.5427588435105224,2.6415e-07
350.0,1.5391662654267746,9.2894e-08
365.0,1.536269622971421,3.4191e-08
370.0,1.5353901942659787,2.7405e-08
380.0,1.5337448659252324,2.074e-08
390.0,1.53223613808004,1.3731e-08
400.0,1.5308485382492993,1.0227e-08
405.0,1.5301959309359068,9.0558e-09
420.0,1.5283853345951357,9.3912e-09
436.0,1.5266678120645563,1.1147e-08
460.0,1.5244334977011411,1.0286e-08
500.0,1.5214144757734767,9.5781e-09
546.0,1.5187257728940171,6.9658e-09
580.0,1.5171218220837157,9.2541e-09
620.0,1.515539496351094,1.1877e-08
660.0,1.5142069676446184,1.2643e-08
700.0,1.513063997196311,8.9305e-09
1060.0,1.5066875568966998,1.0137e-08
1530.0,1.5009018872631794,9.839e-08
1970.0,1.4949498034331454,1.0933e-06
2325.0,1.4892187425615913,4.2911e-06
2500.0,1.486017709571036,8.13e-06
