# DATOS EXPERIMENTALES SPR SIMULADOS - PRUEBA DE AJUSTE
# Configuracion: Vidrio BK7 / Oro (~47nm) / Agua (1.333)
# Longitud de onda: 633 nm, Polarizacion: TM
# Angulo,Reflectancia
65.0000,0.91159
65.1515,0.90705
65.3030,0.90940
65.4545,0.91198
65.6061,0.90116
65.7576,0.89886
65.9091,0.90533
66.0606,0.89835
66.2121,0.88890
66.3636,0.89030
66.5152,0.88119
66.6667,0.87662
66.8182,0.87508
66.9697,0.85866
67.1212,0.85333
67.2727,0.85218
67.4242,0.84219
67.5758,0.84025
67.7273,0.82464
67.8788,0.81159
68.0303,0.81434
68.1818,0.79301
68.3333,0.78025
68.4848,0.75710
68.6364,0.74421
68.7879,0.72847
68.9394,0.70127
69.0909,0.68602
69.2424,0.65614
69.3939,0.63047
69.5455,0.59939
69.6970,0.57979
69.8485,0.53625
70.0000,0.49454
70.1515,0.46533
70.3030,0.41463
70.4545,0.37977
70.6061,0.32588
70.7576,0.28555
70.9091,0.24995
71.0606,0.21051
71.2121,0.16746
71.3636,0.12864
71.5152,0.09399
71.6667,0.05882
71.8182,0.03837
71.9697,0.02090
72.1212,0.01541
72.2727,0.00447
72.4242,0.00000
72.5758,0.00581
72.7273,0.01022
72.8788,0.02081
73.0303,0.04278
73.1818,0.06324
73.3333,0.08336
73.4848,0.09681
73.6364,0.12295
73.7879,0.15040
73.9394,0.17826
74.0909,0.19571
74.2424,0.22174
74.3939,0.24133
74.5455,0.26458
74.6970,0.29770
74.8485,0.32280
75.0000,0.33730
75.1515,0.36353
75.3030,0.38039
75.4545,0.39463
75.6061,0.41815
75.7576,0.44175
75.9091,0.45085
76.0606,0.47511
76.2121,0.46974
76.3636,0.50185
76.5152,0.51244
76.6667,0.52417
76.8182,0.53922
76.9697,0.54138
77.1212,0.56226
77.2727,0.57670
77.4242,0.59340
77.5758,0.59409
77.7273,0.60289
77.8788,0.61430
78.0303,0.63090
78.1818,0.63714
78.3333,0.64169
78.4848,0.65545
78.6364,0.66163
78.7879,0.67398
78.9394,0.67336
79.0909,0.68272
79.2424,0.68967
79.3939,0.69136
79.5455,0.70701
79.6970,0.71349
79.8485,0.71869
80.0000,0.72380
